parameter,value,source,confidence,chapterUsage,notes
payloadBits,300,"Stage09 frozen_config.csv; block_encoder.cpp",HIGH,"系统参数","原始高速电文信息长度"
constraintLength,7,"shared trellis定义; Stage09 frozen_config.csv",HIGH,"编码器参数","记忆长度6；状态数64"
memoryBits,6,"block_encoder.cpp kMemory; 64-state trellis",HIGH,"编码器参数","zero-tail长度等于记忆长度"
stateCount,64,"trellis.cpp; decoder state range [0,63]",HIGH,"编码器参数","2^6"
generatorPolynomials,"171(oct)/133(oct)","shared/src/trellis.cpp",HIGH,"编码器参数","源码异或抽头与文档一致；每trellis step先G1后G2"
motherRate,1/2,"Stage09 frozen_config.csv",HIGH,"码率定义","目标方案名不得代替实际帧级码率"
zeroTailBits,6,"block/current/src/block_encoder.cpp",HIGH,"帧结构","300 payload+6 zero tail=306 trellis steps；终止状态0"
codecInputSteps,306,"Stage09 runner; block encoder",HIGH,"帧结构","包含6个尾步"
motherCodedBits,612,"306*2; formal CSV N_transmitted",HIGH,"帧结构","R12发送长度612"
punctureR12,11,"Stage09 runner",HIGH,"打孔方案","keep mask {1,1}"
punctureR23,1101,"Stage09 runner",HIGH,"打孔方案","发送长度459"
punctureR34,110110,"Stage09 runner",HIGH,"打孔方案","发送长度408"
actualRateR12,0.4901960784313725,"Stage09 formal CSV",HIGH,"实际码率","300/612"
actualRateR23,0.6535947712418301,"Stage09 formal CSV",HIGH,"实际码率","300/459"
actualRateR34,0.7352941176470588,"Stage09 formal CSV",HIGH,"实际码率","300/408"
snrDefinition,Es/N0,"Stage09 frozen_config.csv; runner",HIGH,"信道口径","不是默认Eb/N0"
noiseVariance,"sigma^2=1/(2*10^(Es/N0/10))","Stage09 runner line 330/361",HIGH,"信道口径","BPSK 0->+1 1->-1"
ebN0Conversion,"Eb/N0=Es/N0-10log10(actualRate)","Stage09 formal CSV/runner",HIGH,"可选换算","换算必须使用实际帧级码率"
stage09CoarseGrid,"-5:0.5:10 dB","Stage09 formal CSV gridLayer=coarse_20260729",HIGH,"正式仿真","6 Case*31点=186行"
stage09DenseGrid,"各waterfall范围0.1/0.2 dB密集点","Stage09 formal CSV gridLayer=dense_verified_legacy",HIGH,"正式仿真","126行；实际点间距依Case；dense覆盖同点coarse"
stage09CoarseStopping,"minFrames=1000; targetFrameErrors=200; maxFrames=50000","Stage09 formal CSV row metadata",HIGH,"正式仿真","实际逐点1000至50000帧"
stage09DenseStopping,"minFrames=5000; targetFrameErrors=200; maxFrames=50000","Stage09 formal CSV row metadata",HIGH,"正式仿真","不得以runner默认或旧计划覆盖该实际记录"
stage09Seed,"payloadSeed=noiseSeed=2026072001","Stage09 formal CSV; runner",HIGH,"可复现性","Hard/Soft在runner同一frame循环共享payload与母噪声"
stage10DtbSet,"35;49;70;84;98;112","Stage10 formal CSV",HIGH,"回溯研究","另含BLOCK_FULL_TRACEBACK dtb=306参考；不存在计划但未跑的上述深度"
stage10WorkingPoints,"R12:-1.4/-0.6/-0.2;R23:0.4/1.0/1.5;R34:1.3/1.9/2.4 dB","stage10_selected_snr_by_fer_level.csv",HIGH,"回溯研究","分别对应目标FER 0.30/0.10/0.03"
stage10Stopping,"minFrames=1000; targetFrameErrors=200; maxFrames=50000","Stage10 formal CSV/frozen_config",HIGH,"回溯研究","63行均因达到目标误帧停止；实际1000至7598帧"
stage10SelectedDtb,112,"stage10_traceback_recommendation.csv",HIGH,"工程选择","最坏相对FER增幅0.03378通过5% Gate；D98为0.06757未通过"
stage10D112ResourceTradeoff,"memory=22528B;firstDecision=111 symbols;traceback=21840 operations/frame;meanCPU=342.672us","stage10_traceback_study_results.csv",HIGH,"工程选择","完整回溯对应59776B/305 symbols/306 operations per frame/288.388us；有限回溯省62.3%译码内存和194 symbols首决策等待，但重复回溯操作及本机CPU时间增加"
stage10D84MedianRelativeFerIncrease,0.07,"Stage15 figure_data/stage15_traceback_memory_reliability.csv",HIGH,"结果表述","三码率FER=0.1工作点的中位数；不是最坏值，最坏为0.11"
stage10D112MedianRelativeFerIncrease,0.005,"Stage15 figure_data/stage15_traceback_memory_reliability.csv",HIGH,"结果表述","三码率FER=0.1工作点中位数；最坏约0.005"
stage11QuantSet,"Q3;Q4;Q5;Q6;Q7;Q8;Float","Stage11 formal CSV",HIGH,"量化研究","931行；三种码率均正式运行"
stage11Grid,"coarse -5:0.5:10 plus waterfall dense","Stage11 formal CSV/result_summary",HIGH,"量化研究","coarse 651行；dense 365行；合并正式结果931行"
stage11Stopping,"minFrames=1000; targetFrameErrors=200; maxFrames=50000","Stage11 formal CSV/frozen_config",HIGH,"量化研究","按误帧或最大帧数停止"
stage11SelectedQuant,Q8,"stage11_quantization_recommendation.csv",HIGH,"工程选择","performance/balanced/latency均Q8；memory-first为Q4；不能表述为Q6最终方案"
Q8LossAtFer01,"R12=0.006214 dB;R23=0.008130 dB;R34=-0.000741 dB","stage11_quantization_snr_loss.csv",HIGH,"量化结论","负微值是有限采样/插值波动，不表示Q8理论优于Float"
stage13WSet,"96;128;160;192","stage13_control_w_formal.csv",HIGH,"滑窗研究","固定S=16,D=70；不是旧计划中的其他固定条件"
stage13SSet,"8;16;25;50","stage13_control_s_formal.csv",HIGH,"滑窗研究","固定W=160,D=70"
stage13DSet,"35;49;70;84;98;112","stage13_control_d_formal.csv",HIGH,"滑窗研究","固定W=160,S=16；D126没有纳入全量控制变量补跑"
stage13GridAndStopping,"-5:0.5:10 dB; min=1000; targetFE=200; max=50000","stage13_full_wsd_formal_results.csv",HIGH,"滑窗研究","1302行；36配置组合"
stage13Constraints,"W>D; S<=W-D","true_sliding_window_viterbi.cpp",HIGH,"算法约束","非法配置由源码拒绝"
stage13R12Balanced,"W128/S25/D70","stage13_final_recommendations.csv",HIGH,"候选配置","performance-first与balanced相同"
stage13R12Latency,"W96/S16/D70","stage13_final_recommendations.csv",HIGH,"候选配置","同时为R12 memory-first"
stage13R23Balanced,"W128/S25/D98","stage13_final_recommendations.csv",HIGH,"候选配置","performance-first与balanced相同"
stage13R23Latency,"W128/S25/D84","stage13_final_recommendations.csv",HIGH,"候选配置","同时为R23 memory-first"
stage13R34Balanced,"W160/S25/D126","stage13_final_recommendations.csv",HIGH,"候选配置","D126只存在候选/最终比较数据，不得写成全量D控制变量已补跑"
stage13R34Latency,"W128/S25/D98","stage13_final_recommendations.csv",HIGH,"候选配置","同时为R34 memory-first"
stage14Organizations,"A_BLOCK_300;B_CONT_50x6;C_CONT_100x3;D_CONT_150x2","Stage14 formal CSV",HIGH,"时隙组织","三种连续组织最终发送流相同"
stage14Decisions,"Hard;Soft Float","Stage14 formal CSV",HIGH,"时隙组织","各372行"
