scheme,figureId,figureDirectory,figureTitle,sourceCsv,sourceStage,configurationIds,comparisonType,xVariable,yVariable,burstRatio,burstPosition,EsN0Role,containsNoBurstBaseline,containsLdpcBaseline,controlledVariables,varyingVariables,scientificQuestion,supportedConclusion,unsupportedConclusion,recommendedChapterSection,recommendedLayout,importanceLevel,notes
BCH,01_methods_fer,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\01_methods_fer,BCH 5%突发下不同交织配置误帧率,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv,BCH_S1_stage07_awgn_dense_formal;S7_stage10_bch_formal,BCH_CODEBLOCK_D19;BCH_GLOBAL_PSEUDO_285;BCH_NONE;BCH_ROW_COLUMN_R15;NO_BURST_AWGN,BASELINE_COMPARISON,符号信噪比 Es/N0（dB）,误帧率,0;0.05,N/A,x-axis or source grid; original grid preserved,true,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;无突发信道（AWGN）;行列交织 rows=15,How do the frozen BCH interleaver configurations compare under the representative burst condition?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.1,PAIR,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,02_methods_ber,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\02_methods_ber,BCH 5%突发下不同交织配置误码率,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv,BCH_S1_stage07_awgn_dense_formal;S7_stage10_bch_formal,BCH_CODEBLOCK_D19;BCH_GLOBAL_PSEUDO_285;BCH_NONE;BCH_ROW_COLUMN_R15;NO_BURST_AWGN,BASELINE_COMPARISON,符号信噪比 Es/N0（dB）,误码率,0;0.05,N/A,x-axis or source grid; original grid preserved,true,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;无突发信道（AWGN）;行列交织 rows=15,How do the frozen BCH interleaver configurations compare under the representative burst condition?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.1,PAIR,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,03_burst_2_fer,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\03_burst_2_fer,BCH 2%突发下不同交织配置误帧率,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv,BCH_S1_stage07_awgn_dense_formal;S7_stage10_bch_formal,BCH_CODEBLOCK_D19;BCH_GLOBAL_PSEUDO_285;BCH_NONE;BCH_ROW_COLUMN_R15;NO_BURST_AWGN,BURST_LENGTH_COMPARISON,符号信噪比 Es/N0（dB）,误帧率,0;0.02,N/A,x-axis or source grid; original grid preserved,true,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;无突发信道（AWGN）;行列交织 rows=15,How does BCH performance change as contiguous burst length changes?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.2/9.3.2,SINGLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,04_burst_5_fer,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\04_burst_5_fer,BCH 5%突发下不同交织配置误帧率,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv,BCH_S1_stage07_awgn_dense_formal;S7_stage10_bch_formal,BCH_CODEBLOCK_D19;BCH_GLOBAL_PSEUDO_285;BCH_NONE;BCH_ROW_COLUMN_R15;NO_BURST_AWGN,BURST_LENGTH_COMPARISON,符号信噪比 Es/N0（dB）,误帧率,0;0.05,N/A,x-axis or source grid; original grid preserved,true,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;无突发信道（AWGN）;行列交织 rows=15,How does BCH performance change as contiguous burst length changes?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.2/9.3.2,SINGLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,05_burst_10_fer,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\05_burst_10_fer,BCH 10%突发下不同交织配置误帧率,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv,BCH_S1_stage07_awgn_dense_formal;S7_stage10_bch_formal,BCH_CODEBLOCK_D19;BCH_GLOBAL_PSEUDO_285;BCH_NONE;BCH_ROW_COLUMN_R15;NO_BURST_AWGN,BURST_LENGTH_COMPARISON,符号信噪比 Es/N0（dB）,误帧率,0;0.1,N/A,x-axis or source grid; original grid preserved,true,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;无突发信道（AWGN）;行列交织 rows=15,How does BCH performance change as contiguous burst length changes?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.2/9.3.2,SINGLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,06_six_positions_fer,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\06_six_positions_fer,BCH 六种突发位置误帧率,N/A,N/A,N/A,POSITION_SENSITIVITY,符号信噪比 Es/N0（dB）,误帧率,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,四分之一;四分之三;帧中;帧尾;帧首;随机,How sensitive is BCH to burst start/position?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.3/9.3.3,SINGLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,07_mean_position_fer,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\07_mean_position_fer,BCH 5%突发平均位置误帧率,N/A,N/A,N/A,POSITION_SENSITIVITY,符号信噪比 Es/N0（dB）,误帧率,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,How sensitive is BCH to burst start/position?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.3/9.3.3,TRIPLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,08_max_position_fer,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\08_max_position_fer,BCH 5%突发最坏位置误帧率,N/A,N/A,N/A,POSITION_SENSITIVITY,符号信噪比 Es/N0（dB）,误帧率,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,How sensitive is BCH to burst start/position?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.3/9.3.3,TRIPLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,09_min_position_fer,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\09_min_position_fer,BCH 5%突发最好位置误帧率,N/A,N/A,N/A,POSITION_SENSITIVITY,符号信噪比 Es/N0（dB）,误帧率,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,How sensitive is BCH to burst start/position?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.3/9.3.3,TRIPLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,10_position_sensitivity,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\10_position_sensitivity,BCH 位置敏感度,N/A,N/A,N/A,POSITION_SENSITIVITY,符号信噪比 Es/N0（dB）,最坏与最好位置 FER 差,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,How sensitive is BCH to burst start/position?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.3/9.3.3,SINGLE,A,Evidence maps to existing Stage15 figure data and manifest.
