figureFile,stage,metric,xAxis,yAxis,comparison,figureDataCsv,languageStatus,authorityStatus,hasOldVersion,chapterUse,appendixUse,actionNeeded,notes
stage15_block_soft_fer_by_rate.png,Stage15,FER,"Es/N0 (dB)",FER,"R12/R23/R34 Block Float Soft","figure_data/stage15_block_soft_fer_by_rate.csv",ENGLISH,CURRENT_FORMAL,YES,YES_AFTER_CHINESE_REDRAW,NO,"基于figure_data中文重绘","正文码率性能主图；零误帧点不画人工下限"
stage15_block_hard_soft_fer.png,Stage15,FER,"Es/N0 (dB)",FER,"三码率Hard vs Soft","figure_data/stage15_block_hard_soft_fer.csv",ENGLISH,CURRENT_FORMAL,YES,YES_AFTER_CHINESE_REDRAW,NO,"基于figure_data中文重绘","正文软判决增益主图"
stage15_traceback_memory_reliability.png,Stage15,"相对FER增幅/内存",Dtb,"相对FER增幅与译码器内存","D35/49/70/84/98/112","figure_data/stage15_traceback_memory_reliability.csv",ENGLISH,CURRENT_FORMAL,YES,YES_AFTER_CHINESE_REDRAW,NO,"基于figure_data中文重绘","正文回溯选择主图；完整块不得与有限Dtb折线相连"
stage15_quantization_snr_loss.png,Stage15,"FER=0.1 SNR损失",quantBits,"相对Float的SNR损失(dB)","Q3-Q8 vs Float","figure_data/stage15_quantization_snr_loss.csv",ENGLISH,CURRENT_FORMAL,YES,YES_AFTER_CHINESE_REDRAW,NO,"基于figure_data中文重绘","正文量化位宽主图"
stage15_sliding_parameter_summary.png,Stage15,"W/S/D参数影响","W/S/D候选值","首输出/资源/可靠性汇总","控制变量汇总","figure_data/stage15_sliding_parameter_summary.csv",ENGLISH,CURRENT_FORMAL,YES,YES_AFTER_CHINESE_REDRAW,NO,"基于figure_data中文重绘","正文滑窗参数总览；细分曲线放附录"
stage15_slot_soft_fer.png,Stage15,FER,"Es/N0 (dB)",FER,"Block300/50x6/100x3/150x2 Soft","figure_data/stage15_slot_soft_fer.csv",ENGLISH,CURRENT_FORMAL,YES,YES_AFTER_CHINESE_REDRAW,NO,"基于figure_data中文重绘","正文时隙可靠性图；解释重合原因"
stage15_slot_first_output_latency.png,Stage15,"首输出符号时延","码率/组织","首输出时延(symbols)","Hard/Soft与四组织","figure_data/stage15_slot_first_output_latency.csv",ENGLISH,CURRENT_FORMAL,YES,YES_AFTER_CHINESE_REDRAW,NO,"基于figure_data中文重绘","正文实时性主图"
stage15_slot_avg_p95_latency.png,Stage15,"平均/P95决策符号时延","码率/组织","决策时延(symbols)","Soft与四组织","figure_data/stage15_slot_avg_p95_latency.csv",ENGLISH,CURRENT_FORMAL,YES,YES_AFTER_CHINESE_REDRAW,NO,"基于figure_data中文重绘","正文尾时延主图"
stage15_latency_reliability_pareto.png,Stage15,"时延-可靠性Pareto","首输出时延(symbols)","FER=0.1所需Es/N0(dB)","最终代表方案","figure_data/stage15_latency_reliability_pareto.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","适合作为附录或方案推荐补充；正文篇幅足够时可替换一张时延图"
stage15_block_soft_ber_by_rate.png,Stage15,BER,"Es/N0 (dB)",BER,"R12/R23/R34 Block Float Soft","figure_data/stage15_block_soft_ber_by_rate.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","FER为正文主指标；BER完整曲线放附录"
