tableId,tableTitle,sourceCsv,filterRule,columns,rowRule,requiresInterpolation,forbidsInterpolation,naRule
9.1,Unified S7 simulation parameters and burst-error channel,configs/s7_formal_frozen_config.json; chapter9_burst_channel_definition.md,Es/N0 grid; burst ratios; positions; stop rule,"parameter,value,source,notes",select representative rows; do not paste raw large CSV blocks,false,true,N/A only for non-applicable LDPC burst fields
9.2,Fixed BCH and CC coding schemes,current/include/s7/s7.hpp; current/src/s7.cpp,BCH/CC constants and decoder calls,"scheme,payload,tail/filler,encoded length,rate,decoder",select representative rows; do not paste raw large CSV blocks,false,true,N/A for CC filler and BCH tail
9.3,BCH formal interleaver definitions,current/src/s7.cpp; formal_results.csv,BCH configs only,"configuration,method,parameter,spanBits,bufferBits,mapping description",select representative rows; do not paste raw large CSV blocks,false,true,N/A for trellis-only fields
9.4,CC formal interleaver definitions,current/src/s7.cpp; formal_results.csv,CC configs only,"configuration,method,parameter,spanTrellisSteps,spanBits,bufferBits",select representative rows; do not paste raw large CSV blocks,false,true,N/A for BCH-only fields
9.5,Representative BCH FER improvement,figure evidence matrix; Stage15 BCH figure_data.csv,A-level BCH FER figures,"condition,baseline,method,FER,improvement,source figure",select representative rows; do not paste raw large CSV blocks,true only if source CSV already contains target FER gain,true,Use N/A where improvement is not computed
9.6,BCH burst dispersion mechanism metrics,chapter9_bch_mechanism_evidence.csv,affected blocks and max errors per block,"configuration,affectedBlocksMean,maximumErrorsInBlock,correctedBlocksMean",select representative rows; do not paste raw large CSV blocks,false,true,N/A for missing diagnostic fields
9.7,Representative CC FER improvement,Stage15 CC figure_data.csv,A-level CC FER figures,"condition,baseline,method,FER,improvement,source figure",select representative rows; do not paste raw large CSV blocks,true only if source CSV already contains target FER gain,true,Use N/A where improvement is not computed
9.8,CC short-depth and equal-span comparison,14_short_depth_parameters; 15_equal_span_128_controlled,"D8,D16,pseudo128","configuration,spanTrellisSteps,bufferBits,FER,comparison role",select representative rows; do not paste raw large CSV blocks,false,true,N/A for non-controlled comparisons
9.9,Interleaver buffer and CPU processing time,timing audit; Stage15 timing figures,buffer and timing metrics,"scheme,configuration,bufferBits,interleave ns,deinterleave ns,decode ns",select representative rows; do not paste raw large CSV blocks,false,true,Do not convert bufferBits to time
9.10,Burst-error tolerance,20_burst_tolerance figures,BCH and CC only,"scheme,configuration,tolerance metric,source",select representative rows; do not paste raw large CSV blocks,false,true,LDPC=N/A
9.11,CC and LDPC no-interleaving near-rate baseline,S7_coding_reference_summary.csv; LDPC audit,no-burst AWGN only,"scheme,rate,BER,FER,decode CPU reference,role",select representative rows; do not paste raw large CSV blocks,false,true,LDPC burst columns=N/A
9.12,Final engineering configuration recommendation,Stage15/16 summaries; evidence matrix,S7 frozen recommendation only,"scheme,recommended configuration,evidence,limitations",select representative rows; do not paste raw large CSV blocks,false,true,N/A for unsupported dimensions
